Gene Name	Mutation Count	Associated Phenotypes
B3532	13	growth:Resistant;tobramycin:Resistant;doxycycline:Resistant;sodium chloride:Resistant;erythromycin:Resistant;fucose:Sensitive;alanine utilization:Resistant;chloramphenicol:Sensitive;trimethoprim:Sensitive;ionizing radiation:Resistant;acid:Resistant;heat:Resistant;benzoate:Resistant
B3533	6	growth:Resistant;doxycycline:Resistant;sodium chloride:Resistant;erythromycin:Resistant;fucose:Sensitive;l-valine:Sensitive;trimethoprim:Sensitive;acid:Resistant;heat:Resistant;cccp:Sensitive
B3530	9	growth:Resistant;doxycycline:Resistant;sulfamethoxazole:Sensitive;sodium chloride:Resistant;erythromycin:Resistant;trimethoprim:Sensitive;ionizing radiation:Resistant;acid:Resistant;heat:Resistant
B3531	8	growth:Resistant;thiolactomycin:Resistant;pyocyanin:Resistant;doxycycline:Resistant;nigericin:Resistant;sodium chloride:Resistant;erythromycin:Resistant;fucose:Sensitive;luria-bertani broth:Sensitive;trimethoprim:Sensitive;ethanol:Resistant;pms:Sensitive;acid:Resistant;puromycin:Resistant;mecillinam:Sensitive;polymixin b:Resistant;mops:Sensitive
B3536	9	growth:Resistant;doxycycline:Resistant;spiramycin:Sensitive;sodium chloride:Resistant;erythromycin:Resistant;trimethoprim:Sensitive;ethanol:Resistant;acid:Resistant;heat:Resistant;cccp:Sensitive;sulfamonomethoxine:Sensitive
B3537	6	growth:Resistant;doxycycline:Resistant;streptonigrin:Sensitive;sodium chloride:Resistant;erythromycin:Resistant;l-valine:Sensitive;trimethoprim:Sensitive;heat:Sensitive;methylglyoxal:Sensitive;sds:Sensitive;acid:Resistant;heat:Resistant;fusidic acid:Resistant
B3534	3	growth:Resistant;sodium chloride:Resistant;doxycycline:Resistant;erythromycin:Resistant;trimethoprim:Sensitive;acid:Resistant
B3535	6	growth:Resistant;doxycycline:Resistant;sodium chloride:Resistant;erythromycin:Resistant;trimethoprim:Sensitive;acid:Resistant;heat:Resistant
B3538	7	growth:Resistant;isobutanol:Resistant;doxycycline:Resistant;sodium chloride:Resistant;erythromycin:Resistant;trimethoprim:Sensitive;chloramphenicol:Resistant;acid:Resistant;heat:Resistant;actinomycin d:Resistant
B3539	7	growth:Resistant;doxycycline:Resistant;sodium chloride:Resistant;erythromycin:Resistant;ampicillin:Resistant;luria-bertani broth:Sensitive;trimethoprim:Sensitive;acid:Resistant;heat:Resistant;puromycin:Resistant;mops:Sensitive
ECW_M2682	12	sodium chloride:Sensitive
ECW_M2683	2	sodium chloride:Sensitive
ECW_M2684	5	sodium chloride:Sensitive
ECW_M2689	9	sodium chloride:Sensitive
B3947	3	growth:Resistant;bacitracin:Resistant;acriflavine:Resistant;sulfamethoxazole:Sensitive;streptomycin:Sensitive;trimethoprim:Sensitive;cold:Sensitive;norfloxacin:Sensitive;puromycin:Resistant
B3946	2	l-valine:Sensitive;methylglyoxal:Sensitive;norvaline:Resistant;fucose:Sensitive
ECW_M3486	13	sodium chloride:Sensitive
ECW_M3485	15	sodium chloride:Sensitive
ECW_M0822	8	sodium chloride:Sensitive
ECW_M0354	4	sodium chloride:Sensitive
YDDL'	1	ampicillin:Sensitive
YBBD'	1	copper:Sensitive
B1350	9	growth:Resistant;cisplatin:Resistant;taurocholate:Sensitive;ionizing radiation:Resistant;methylglyoxal:Sensitive;l-valine:Sensitive
